step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
34254,Binary classification,Logistic regression,SMTP,0.999824837975127,0.7272727272727273,0.004383087158203125,58.00377399999999
36157,Binary classification,Logistic regression,SMTP,0.9998340570290677,0.7272727272727273,0.004383087158203125,63.301826999999996
38060,Binary classification,Logistic regression,SMTP,0.9998423541776142,0.7272727272727273,0.004383087158203125,69.082681
39963,Binary classification,Logistic regression,SMTP,0.9998498611215374,0.7272727272727273,0.004383087158203125,75.20146299999999
41866,Binary classification,Logistic regression,SMTP,0.999856685616013,0.7272727272727273,0.004383087158203125,81.47624599999999
43769,Binary classification,Logistic regression,SMTP,0.9998629166761863,0.7272727272727273,0.004383087158203125,87.80334799999999
45672,Binary classification,Logistic regression,SMTP,0.9998686284813453,0.7272727272727273,0.004383087158203125,94.50356299999999
47575,Binary classification,Logistic regression,SMTP,0.9998738833420915,0.7272727272727273,0.004383087158203125,101.47320899999998
49478,Binary classification,Logistic regression,SMTP,0.9998787339827803,0.7272727272727273,0.004383087158203125,108.65337399999999
51381,Binary classification,Logistic regression,SMTP,0.9998443004223351,0.6666666666666666,0.004383087158203125,116.03905099999999
53284,Binary classification,Logistic regression,SMTP,0.9998498611215374,0.6666666666666666,0.004383087158203125,123.47693899999999
55187,Binary classification,Logistic regression,SMTP,0.999855038324243,0.6666666666666666,0.004383087158203125,131.24711599999998
57090,Binary classification,Logistic regression,SMTP,0.9997022245577158,0.48484848484848486,0.004383087158203125,139.06955999999997
58993,Binary classification,Logistic regression,SMTP,0.9997118302171444,0.48484848484848486,0.004383087158203125,147.24685999999997
60896,Binary classification,Logistic regression,SMTP,0.9997208355228586,0.48484848484848486,0.004383087158203125,155.49604799999997
62799,Binary classification,Logistic regression,SMTP,0.999697447411583,0.45714285714285713,0.004383087158203125,163.98183799999998
64702,Binary classification,Logistic regression,SMTP,0.9997063460171247,0.45714285714285713,0.004383087158203125,172.51983099999998
66605,Binary classification,Logistic regression,SMTP,0.9997147361309211,0.45714285714285713,0.004383087158203125,181.37851099999997
68508,Binary classification,Logistic regression,SMTP,0.9996934664564723,0.4324324324324324,0.004383087158203125,190.361339
70411,Binary classification,Logistic regression,SMTP,0.9997017511468379,0.4324324324324324,0.004383087158203125,199.62141799999998
72314,Binary classification,Logistic regression,SMTP,0.9997095998008685,0.4324324324324324,0.004383087158203125,209.102276
74217,Binary classification,Logistic regression,SMTP,0.9997170459598205,0.4324324324324324,0.004383087158203125,218.739805
76120,Binary classification,Logistic regression,SMTP,0.999724119810825,0.4324324324324324,0.004383087158203125,228.568505
78023,Binary classification,Logistic regression,SMTP,0.9997308485959269,0.4324324324324324,0.004383087158203125,238.590468
79926,Binary classification,Logistic regression,SMTP,0.9997372569626904,0.4324324324324324,0.004383087158203125,248.811987
81829,Binary classification,Logistic regression,SMTP,0.9997433672658838,0.4324324324324324,0.004383087158203125,259.201556
83732,Binary classification,Logistic regression,SMTP,0.9997491998280228,0.4324324324324324,0.004383087158203125,269.773782
85635,Binary classification,Logistic regression,SMTP,0.9997547731651778,0.4324324324324324,0.004383087158203125,280.39829399999996
87538,Binary classification,Logistic regression,SMTP,0.9997601041833261,0.4324324324324324,0.004383087158203125,291.30607999999995
89441,Binary classification,Logistic regression,SMTP,0.9997540277948592,0.4210526315789474,0.004383087158203125,302.26636399999995
91344,Binary classification,Logistic regression,SMTP,0.9997591522157996,0.4210526315789474,0.004383087158203125,313.41476399999993
93247,Binary classification,Logistic regression,SMTP,0.9997640674767017,0.4210526315789474,0.004383087158203125,324.6865609999999
95150,Binary classification,Logistic regression,SMTP,0.9997687861271676,0.4210526315789474,0.004383087158203125,336.1230349999999
95156,Binary classification,Logistic regression,SMTP,0.9997688007062088,0.4210526315789474,0.004383087158203125,347.5840659999999
106,Binary classification,Aggregated Mondrian Forest,Bananas,0.6952380952380952,0.6734693877551019,0.7311496734619141,0.402177
212,Binary classification,Aggregated Mondrian Forest,Bananas,0.7772511848341233,0.7539267015706805,1.1526775360107422,1.069418
318,Binary classification,Aggregated Mondrian Forest,Bananas,0.8107255520504731,0.7887323943661972,1.5658817291259766,2.106066
424,Binary classification,Aggregated Mondrian Forest,Bananas,0.8321513002364066,0.8126649076517151,1.903005599975586,3.488664
530,Binary classification,Aggregated Mondrian Forest,Bananas,0.8374291115311909,0.8105726872246696,2.307821273803711,5.3395150000000005
636,Binary classification,Aggregated Mondrian Forest,Bananas,0.8456692913385827,0.8211678832116789,2.615488052368164,7.5466120000000005
742,Binary classification,Aggregated Mondrian Forest,Bananas,0.8502024291497976,0.8229665071770335,3.0040950775146484,10.22592
848,Binary classification,Aggregated Mondrian Forest,Bananas,0.8406139315230224,0.8132780082987551,3.627176284790039,13.262821
954,Binary classification,Aggregated Mondrian Forest,Bananas,0.8467995802728226,0.8188585607940446,4.011995315551758,16.409953
1060,Binary classification,Aggregated Mondrian Forest,Bananas,0.8536355051935789,0.8252536640360767,4.247537612915039,20.03872
1166,Binary classification,Aggregated Mondrian Forest,Bananas,0.8532188841201717,0.8256880733944955,4.639005661010742,24.372941
1272,Binary classification,Aggregated Mondrian Forest,Bananas,0.8528717545239969,0.8263695450324977,5.026018142700195,29.288351
1378,Binary classification,Aggregated Mondrian Forest,Bananas,0.8533042846768337,0.8255613126079447,5.375551223754883,34.524231
1484,Binary classification,Aggregated Mondrian Forest,Bananas,0.8577208361429535,0.8313349320543566,5.637887954711914,39.873114
1590,Binary classification,Aggregated Mondrian Forest,Bananas,0.8558842039018251,0.8302446256486287,5.985445022583008,45.761274
1696,Binary classification,Aggregated Mondrian Forest,Bananas,0.8578171091445428,0.8322894919972164,6.255781173706055,52.16025
1802,Binary classification,Aggregated Mondrian Forest,Bananas,0.8617434758467518,0.837996096291477,6.513776779174805,58.958737
1908,Binary classification,Aggregated Mondrian Forest,Bananas,0.8605138961719979,0.8380024360535933,6.860681533813477,66.186241
2014,Binary classification,Aggregated Mondrian Forest,Bananas,0.8614008941877794,0.8402976531196336,7.188405990600586,73.77180999999999
2120,Binary classification,Aggregated Mondrian Forest,Bananas,0.8636149126946673,0.8445400753093062,7.45918083190918,81.92266299999999
2226,Binary classification,Aggregated Mondrian Forest,Bananas,0.863370786516854,0.8445807770961146,7.824583053588867,90.52339799999999
2332,Binary classification,Aggregated Mondrian Forest,Bananas,0.8631488631488632,0.8446176327325864,8.146684646606445,99.57620199999998
2438,Binary classification,Aggregated Mondrian Forest,Bananas,0.8649979482970865,0.8463334890238208,8.476228713989258,109.05788699999998
2544,Binary classification,Aggregated Mondrian Forest,Bananas,0.8655131734172238,0.8477292965271594,8.77055549621582,119.13105799999998
2650,Binary classification,Aggregated Mondrian Forest,Bananas,0.8663646659116648,0.8489761092150171,9.034017562866211,129.62469299999998
2756,Binary classification,Aggregated Mondrian Forest,Bananas,0.8682395644283122,0.8508014796547472,9.326082229614258,140.469261
2862,Binary classification,Aggregated Mondrian Forest,Bananas,0.871024117441454,0.8535132989281462,9.581369400024414,151.75885799999998
2968,Binary classification,Aggregated Mondrian Forest,Bananas,0.8725985844287159,0.8547271329746349,9.816720962524414,163.46821799999998
3074,Binary classification,Aggregated Mondrian Forest,Bananas,0.8721119427269769,0.8543905150055576,10.13664436340332,175.57401099999998
3180,Binary classification,Aggregated Mondrian Forest,Bananas,0.8738597043095313,0.8558072635742537,10.382577896118164,188.206663
3286,Binary classification,Aggregated Mondrian Forest,Bananas,0.873972602739726,0.8553459119496856,10.655797958374023,201.31572
3392,Binary classification,Aggregated Mondrian Forest,Bananas,0.8743733411972869,0.8566621803499327,10.917825698852539,214.802688
3498,Binary classification,Aggregated Mondrian Forest,Bananas,0.875893623105519,0.8577049180327869,11.169775009155273,228.683347
3604,Binary classification,Aggregated Mondrian Forest,Bananas,0.8776019983347211,0.8589702590342182,11.396661758422852,243.083545
3710,Binary classification,Aggregated Mondrian Forest,Bananas,0.8784038824480992,0.8604147322810276,11.635644912719727,257.92143999999996
3816,Binary classification,Aggregated Mondrian Forest,Bananas,0.8799475753604193,0.8622970535177391,11.844369888305664,273.194463
3922,Binary classification,Aggregated Mondrian Forest,Bananas,0.8801326192297884,0.8620892018779343,12.125791549682617,288.84981799999997
4028,Binary classification,Aggregated Mondrian Forest,Bananas,0.8793146262726595,0.8609044075558099,12.44749641418457,305.08325399999995
4134,Binary classification,Aggregated Mondrian Forest,Bananas,0.8802322767965158,0.8620016727069976,12.748563766479492,321.76444999999995
4240,Binary classification,Aggregated Mondrian Forest,Bananas,0.8815758433592829,0.8637350705754614,12.930234909057617,338.85997899999995
4346,Binary classification,Aggregated Mondrian Forest,Bananas,0.8828538550057538,0.8652369605507017,13.177812576293945,356.46849199999997
4452,Binary classification,Aggregated Mondrian Forest,Bananas,0.8820489777578072,0.8640952627491586,13.489912033081055,374.59097599999996
4558,Binary classification,Aggregated Mondrian Forest,Bananas,0.8819398727232829,0.8642785065590314,13.778493881225586,393.06896199999994
4664,Binary classification,Aggregated Mondrian Forest,Bananas,0.8822646365001072,0.8651436993367724,14.052377700805664,412.21885999999995
4770,Binary classification,Aggregated Mondrian Forest,Bananas,0.8813168379115118,0.8636801541425819,14.455930709838867,431.85862
4876,Binary classification,Aggregated Mondrian Forest,Bananas,0.8822564102564102,0.8642384105960265,14.687185287475586,451.994849
4982,Binary classification,Aggregated Mondrian Forest,Bananas,0.8837582814695845,0.8663126298776265,14.919321060180664,472.59684599999997
5088,Binary classification,Aggregated Mondrian Forest,Bananas,0.8832317672498525,0.865732368896926,15.203706741333008,493.657747
5194,Binary classification,Aggregated Mondrian Forest,Bananas,0.8838821490467937,0.8663859960115223,15.511594772338867,515.206233
